,in,in,1,in,in,in,lb,lbf,lbf,lbf,lbf,lbf,%,in,lbf,lbf
,2009,2010,2029,2014,2011,2012,2013,2015,2015,2016,2017,2018,2019,2020,2015,2016
ICI Flex-0278-0618S,2 7/8,6 1/8,5,18.2,6.125,2.96,3.5,256,0,0,256,500,89,0,0,0
ICI Flex-0278-3826S,2 7/8,3.826,5,11.8,3.826,2.96,2.4,256,0,0,256,320,74,0,0,0
UR Flex-0312-0438TUR,3 1/2,4 3/8,5,13.8,4.375,3.59,2.9,0,0,0,0,370,65,4.1,303,260
ICI Flex-0312-0578S,3 1/2,5 7/8,5,14.7,5.875,3.59,3.3,396,0,0,396,765,81,0,0,0
ICI Flex-0312-0600S,3 1/2,6,5,14.7,6.000,3.59,3.5,396,0,0,396,740,83,0,0,0
ICI Flex-0312-0618S,3 1/2,6 1/8,5,14.7,6.125,3.59,3.5,396,0,0,396,780,81,0,0,0
UR Flex-0312-0618TUR,3 1/2,6 1/8,5,15.1,6.125,3.59,3.1,0,0,0,0,625,81,5.1,365,186
ICI Flex-0312-0812S,3 1/2,8 1/2,5,18.5,8.500,3.59,4.2,396,0,0,396,710,82,0,0,0
ICI Flex-0400-0558S,4,5 5/8,5,13.7,5.625,4.10,3.7,454,0,0,454,810,83,0,0,0
ICI Flex-0400-0600S,4,6,5,13.7,6.000,4.10,5.1,454,0,0,454,1710,89,0,0,0
ICI Flex-0400-0612S,4,6 1/2,5,13.5,6.500,4.10,4.0,454,0,0,454,1150,82,0,0,0
ICI Flex-0412-0558S,4 1/2,5 5/8,5,11.9,5.625,4.62,5.5,464,0,0,464,885,77,0,0,0
ICI Flex-0412-0578S,4 1/2,5 7/8,5,11.8,5.875,4.62,3.5,464,0,0,464,700,74,0,0,0
ICI Flex-0412-0600S,4 1/2,6,5,11.8,6.000,4.62,3.5,464,0,0,464,900,80,0,0,0
ICI Flex-0412-0612S,4 1/2,6 1/2,5,12.6,6.500,4.62,3.8,464,0,0,464,1040,82,0,0,0
UR Flex-0412-0612TUR,4 1/2,6 1/2,5,14.6,6.500,4.62,4.2,0,0,0,0,725,80,5.8,450,320
ICI Flex-0412-0618S,4 1/2,6 1/8,5,11.7,6.125,4.62,3.7,464,0,0,464,880,79,0,0,0
ICI Flex-0412-0634S,4 1/2,6 3/4,5,12.6,6.750,4.62,3.8,464,0,0,464,1060,82,0,0,0
ICI Flex-0412-0778S,4 1/2,7 7/8,5,20.3,7.875,4.62,6.8,464,0,0,464,1005,84,0,0,0
ICI Flex-0412-0812S,4 1/2,8 1/2,5,18.0,8.500,4.62,5.5,464,0,0,464,790,78,0,0,0
ICI Flex-0412-0838S,4 1/2,8 3/8,5,18.4,8.375,4.62,5.5,464,0,0,464,910,82,0,0,0
ICI Flex-0412-0978S,4 1/2,9 7/8,5,19.7,9.875,4.62,6.4,464,0,0,464,1050,84,0,0,0
ICI Flex-0500-0578S,5,5 7/8,6,12.4,5.875,5.12,5.7,520,0,0,520,980,78,0,0,0
ICI Flex-0500-0600S,5,6,6,12.4,6.000,5.12,5.7,520,0,0,520,1030,80,0,0,0
ICI Flex-0500-0612S,5,6 1/2,6,12.4,6.500,5.12,5.7,520,0,0,520,1490,81,0,0,0
ICI Flex-0500-0618S,5,6 1/8,6,11.4,6.125,5.12,4.2,520,0,0,520,695,72,0,0,0
ICI Flex-0500-0634S,5,6 3/4,6,12.4,6.750,5.12,6.0,520,0,0,520,1775,74,0,0,0
UR Flex-0500-0700TUR,5,7,5,17.7,7.000,5.12,7.3,0,0,0,0,820,82,5.864,1231,650
UR Flex-0500-0712TUR,5,7 1/2,5,17.5,7.500,5.12,7.5,0,0,0,0,930,78,6.184,1285,665
ICI Flex-0500-0812S,5,8 1/2,5,17.3,8.500,5.12,7.9,520,0,0,520,1700,86,0,0,0
ICI Flex-0500-0838S,5,8 3/8,5,17.4,8.375,5.12,7.9,520,0,0,520,1775,86,0,0,0
ICI Flex-0512-0612S,5 1/2,6 1/2,6,14.0,6.500,5.62,7.9,620,0,0,620,825,72,0,0,0
ICI Flex-0512-0634S,5 1/2,6 3/4,6,14.0,6.750,5.62,7.9,620,0,0,620,1050,75,0,0,0
UR Flex-0512-0700TUR,5 1/2,7,5,17.2,7.000,5.62,7.7,0,0,0,0,890,81,6.366,575,395
UR Flex-0512-0712TUR,5 1/2,7 1/2,5,17.2,7.500,5.62,7.5,0,0,0,0,655,69,6.184,1266,800
ICI Flex-0512-0758S,5 1/2,7 5/8,5,15.5,7.625,5.62,7.7,620,0,0,620,1350,80,0,0,0
ICI Flex-0512-0778S,5 1/2,7 7/8,5,15.4,7.875,5.62,5.7,620,0,0,620,905,74,0,0,0
UR Flex-0512-0778TUR,5 1/2,7 7/8,5,16.5,7.875,5.62,5.7,0,0,0,0,645,68,6.75,703,360
ICI Flex-0512-0800S,5 1/2,8,5,15.5,8.000,5.62,7.7,620,0,0,620,1795,82,0,0,0
ICI Flex-0512-0812S,5 1/2,8 1/2,5,17.4,8.500,5.62,6.2,620,0,0,620,880,75,0,0,0
ICI Flex-0512-0834S,5 1/2,8 3/4,5,17.3,8.750,5.62,6.6,620,0,0,620,1120,83,0,0,0
ICI Flex-0512-0838S,5 1/2,8 3/8,5,16.2,8.375,5.62,7.5,620,0,0,620,1325,81,0,0,0
UR Flex-0512-0914TUR,5 1/2,9 1/4,5,17.2,9.250,5.62,6.0,0,0,0,0,1045,80,8.6,760,210
ICI Flex-0534-0812S,5 3/4,8 1/2,5,16.2,8.500,5.90,6.2,620,0,0,620,1025,78,0,0,0
ICI Flex-0658-0812S,6 5/8,8 1/2,6,13.5,8.500,6.75,8.8,960,0,0,960,2450,81,0,0,0
ICI Flex-0658-0814S,6 5/8,8 1/4,6,13.0,8.250,6.75,8.6,960,0,0,960,1925,76,0,0,0
ICI Flex-0658-0834S,6 5/8,8 3/4,6,13.7,8.750,6.75,8.8,960,0,0,960,2975,85,0,0,0
