FLUENCIA;;;Kpsi;;40;;55;55;65;80;;80;;90;;95;;95;;110;;125;;80;;95;;110;;140;;80;;95;;95;;110;;;;;;;;;;;
RESISTENCIA;;;Kpsi;;60;;75;95;85;95;;100;;100;;105;;105;;125;;135;;100;;110;;125;;150;;95;;105;;105;;115;;;;;;;;;;;
"TUBO DE REVESTIMIENTO
CASING";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;D.E.;PESO;;DIMENSIONES;;;;;;;PROPIEDADES MECANICAS;;;;GRADO DE ACERO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ESP.;;"D.I.     DRIFT   DRIFT   AREA
ALT.   TRANS.";;;;;;;;;API;;;;;;;;;;;;;;;;;;;;;;ALTO COLAPSO;;;;;;"RESISTENTE
A LA CORROSION";;;;;;
;pulg;lb/pie;;pulg;;pulg       pulg      pulg      pulg2;;;;;;;;;H40;;J55;;K55;;M65;;L80;;N80;;C90;;C95;;T95;;P110;;Q125;;TAC80;;TAC95   TAC110   TAC140;;;;TRC80;TRC95;TRC95HC;TRC110;;;
;4 1/2;15.10;;0.337;;3.826   3.701                  4.407;;;;;Colapso-psi;;;;;;;;;;;;;;;;;;;;14340;;15830;;11820;;14100;;16180;18790;11080;12760;14100;14340;;;
;;;;;;;;;;;Tension-klb;;;;;;;;;;;;;;;;;;;;485;;551;;353;;419;;485;617;353;419;419;485;;;
;;;;;;;;;;;PInterna-psi;;;;;;;;;;;;;;;;;;;;14420;;16380;;10480;;12450;;14420;18350;10480;12450;12450;14420;;;
;;;;;;;;;;;PPrueba-psi;;;;;;;;;;;;;;;;;;;;10000;;10000;;10000;;10000;;10000;10000;9600;10000;10000;10000;;;
;5;11.50;;0.220;;4.560   4.435                  3.304;;;;;Colapso-psi;;;;3060;;3060;;3290;;;;;;;;;;;;;;;;;;;;;;3560;3900;;;;;
;;;;;;;;;;;Tension-klb;;;;182;;182;;215;;;;;;;;;;;;;;;;;;;;;;264;314;;;;;
;;;;;;;;;;;PInterna-psi;;;;4240;;4240;;5010;;;;;;;;;;;;;;;;;;;;;;6160;7320;;;;;
;;;;;;;;;;;PPrueba-psi;;;;3900;;3900;;4600;;;;;;;;;;;;;;;;;;;;;;5600;6700;;;;;
;;13.00;;0.253;;4.494    4.369                  3.773;;;;;Colapso-psi;;;;4140;;4140;;4590;;;;;;;;;;;;;;;;;;;;;;5140;5560;;;;;
;;;;;;;;;;;Tension-klb;;;;208;;208;;245;;;;;;;;;;;;;;;;;;;;;;302;358;;;;;
;;;;;;;;;;;PInterna-psi;;;;4870;;4870;;5760;;;;;;;;;;;;;;;;;;;;;;7080;8410;;;;;
;;;;;;;;;;;PPrueba-psi;;;;4500;;4500;;5300;;;;;;;;;;;;;;;;;;;;;;6500;7700;;;;;
;;15.00;;0.296;;4.408    4.283                  4.374;;;;;Colapso-psi;;;;5560;;5560;;6280;;7250;;7250;;7830;;8110;;8110;;8850;;;;8870;;10020;;11490;12770;7250;8110;10020;8850;;;
;;;;;;;;;;;Tension-klb;;;;241;;241;;284;;350;;350;;394;;416;;416;;481;;;;350;;416;;481;612;350;416;416;481;;;
;;;;;;;;;;;PInterna-psi;;;;5700;;5700;;6730;;8290;;8290;;9320;;9840;;9840;;11400;;;;8290;;9840;;11400;14500;8290;9840;9840;11400;;;
;;;;;;;;;;;PPrueba-psi;;;;5200;;5200;;6200;;7600;;7600;;8500;;9000;;9000;;10000;;;;7600;;9000;;10000;10000;7900;9000;9000;10000;;;
;;18.00;;0.362;4.276;;4.151;;;;5.275;;Colapso-psi;;;;;;;;8730;;10490;;10490;;11520;;12030;;12030;;13470;;14820;;11370;;13440;;15540;17840;10490;12030;13460;13470;
;;;;;;;;;;;;;Tension-klb;;;;;;;;343;;422;;422;;475;;501;;501;;580;;659;;422;;501;;580;738;422;501;501;580;
;;;;;;;;;;;;;PInterna-psi;;;;;;;;8240;;10140;;10140;;11400;;12040;;12040;;13940;;15840;;10140;;12040;;13940;17740;10140;12040;12040;13940;
;;;;;;;;;;;;;PPrueba-psi;;;;;;;;7500;;9300;;9300;;10000;;10000;;10000;;10000;;10000;;9300;;10000;;10000;10000;9300;10000;10000;10000;
;;21.40;;0.437;4.126;;4.001;;;;6.264;;Colapso-psi;;;;;;;;10370;;12760;;12760;;14360;;15150;;15150;;17550;;19940;;14050;;17340;;19400;22270;12760;15150;17350;17550;
;;;;;;;;;;;;;Tension-klb;;;;;;;;407;;501;;501;;564;;595;;595;;689;;783;;501;;595;;689;877;501;595;595;689;
