MD [m],Inc [°],<SO> @ centr. [%],SO @ mid span [%],Stage
0.0,0.0,99.22,99.22,0
365.76,0.0,99.22,99.22,0
731.52,0.0,99.22,97.45,0
1097.28,0.0,95.46,50.85,0
1463.04,0.0,6.24,-5.17,0
2414.02,34.56,12.34,34.89,2
2426.21,35.28,76.81,62.56,2
2438.4,36.12,72.52,55.07,2
2450.59,37.09,67.8,47.41,2
2462.78,38.17,63.38,40.95,2
2474.98,39.39,59.84,37.04,2
2487.17,40.72,59.14,40.27,2
2499.36,42.05,64.06,51.07,2
2511.55,43.2,71.29,62.02,2
2523.74,44.15,76.2,66.62,2
2535.94,45.05,77.2,67.18,2
2548.13,45.97,77.73,69.63,2
2560.32,46.86,80.23,75.74,2
2572.51,47.63,85.61,87.29,2
2584.7,48.18,95.43,89.31,2
2596.9,48.4,94.74,81.18,2
2609.09,48.36,90.36,78.96,2
2621.28,48.29,91.37,81.87,2
2633.47,48.3,92.86,82.7,2
2645.66,48.34,91.93,79.11,2
2657.86,48.3,89.83,78.89,2
2670.05,48.25,91.66,81.34,2
2682.24,48.27,91.66,79.59,2
2694.43,48.29,89.71,75.08,2
2706.62,48.2,85.86,70.59,2
2718.82,47.98,84.71,72.13,2
2731.01,47.8,87.61,77.59,2
2743.2,47.77,90.5,81.23,2
2755.39,47.81,92.03,81.06,2
2767.58,47.82,90.82,79.16,2
2779.78,47.8,90.07,79.04,2
2791.97,47.77,90.48,89.04,2
2804.16,47.76,87.61,87.6,3
2816.35,47.78,87.61,87.6,3
2828.54,47.85,87.61,86.6,3
2840.74,47.89,85.6,85.6,3
2852.93,47.83,85.6,86.37,3
2865.12,47.72,87.16,86.94,3
2877.31,47.67,86.74,85.97,3
2889.5,47.71,85.2,69.29,3
2913.89,47.78,86.46,68.85,3
2938.27,47.81,87.12,86.73,3
2950.46,47.82,86.34,86.34,3
2962.66,47.81,86.34,86.34,3
2974.85,47.77,86.34,86.34,3
2987.04,47.71,86.34,86.34,3
2999.23,47.67,86.34,86.34,3
3011.42,47.67,86.34,87.0,3
3023.62,47.73,87.67,87.11,3
3035.81,47.81,86.56,85.36,3
3048.0,47.85,84.16,84.16,3
3060.19,47.82,84.16,84.16,3
3072.38,47.8,84.16,84.16,3
3084.58,47.81,84.16,84.16,3
3096.77,47.85,84.16,84.16,3
3108.96,47.88,84.16,83.8,3
3121.15,47.89,83.44,84.11,3
3133.34,47.86,84.79,84.79,3
3145.54,47.8,84.79,84.79,3
3157.73,47.76,84.79,85.04,3
3169.92,47.76,85.29,85.29,3
3182.11,47.8,85.29,85.29,3
3194.3,47.86,85.29,85.29,3
3206.5,47.88,85.29,85.29,3
3218.69,47.77,85.29,85.29,3
3230.88,47.55,85.29,85.74,3
3243.07,47.36,86.19,86.19,3
3255.26,47.28,86.19,86.19,3
3267.46,47.26,86.19,86.19,3
3279.65,47.25,86.19,86.19,3
3291.84,47.26,86.19,86.19,3
3304.03,47.3,86.19,84.96,3
3316.22,47.37,83.73,83.73,3
3328.42,47.43,83.73,85.98,3
3340.61,47.46,88.24,88.24,3
3352.8,47.44,88.24,88.24,3
3364.99,47.4,88.24,88.66,3
3377.18,47.34,89.09,89.09,3
3389.38,47.28,89.09,90.0,3
3401.57,47.23,90.91,89.82,3
3413.76,47.17,88.74,88.74,3
3425.95,47.1,88.74,88.29,3
3438.14,47.1,87.85,87.85,3
3450.34,47.19,87.85,87.85,3
3462.53,47.32,87.85,87.85,3
3474.72,47.37,87.85,87.85,3
3486.91,47.33,87.85,87.76,3
3499.1,47.27,87.66,87.66,3
3511.3,47.23,87.66,87.66,3
3523.49,47.21,87.66,87.66,3
3535.68,47.2,87.66,87.66,3
3547.87,47.21,87.66,87.66,3
3560.06,47.26,87.66,87.66,3
3572.26,47.33,87.66,79.59,3
3584.45,47.38,71.52,79.04,3
3596.64,47.39,86.55,89.11,3
3608.83,47.36,91.66,91.66,3
3621.02,47.32,91.66,91.66,3
3633.22,47.28,91.66,91.66,3
3645.41,47.22,91.66,91.66,3
3657.6,47.21,91.66,91.96,3
3669.79,47.32,92.26,92.26,3
3681.98,47.55,92.26,92.26,3
3694.18,47.77,92.26,0.0,3
