MD [m],Inc [°],Azi [°],TVD [m],HD [m],N+/S- [m],E+/W- [m],Dogleg [°/30m]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,160.66,9.0,-0.0,-0.0,-0.0,0.0
21.19,0.0,0.0,21.19,0.0,0.0,0.0,0.0
33.38,0.0,0.0,33.38,-0.0,-0.0,-0.0,0.0
45.58,0.0,0.0,45.58,0.0,0.0,0.0,0.0
57.77,0.0,0.0,57.77,-0.0,-0.0,-0.0,0.0
69.96,0.0,0.0,69.96,0.0,0.0,0.0,0.0
82.15,0.0,0.0,82.15,-0.0,-0.0,-0.0,0.0
94.34,0.0,0.0,94.34,0.0,0.0,0.0,0.0
106.54,0.0,0.0,106.54,-0.0,-0.0,-0.0,0.0
118.73,0.0,0.0,118.73,0.0,0.0,0.0,0.0
130.92,0.0,0.0,130.92,-0.0,-0.0,-0.0,0.0
143.11,0.0,0.0,143.11,0.0,0.0,0.0,0.0
155.3,0.0,0.0,155.3,-0.0,-0.0,-0.0,0.0
167.5,0.0,0.0,167.5,0.0,0.0,0.0,0.0
179.69,0.0,0.0,179.69,-0.0,-0.0,-0.0,0.0
191.88,0.0,0.0,191.88,0.0,0.0,0.0,0.0
204.07,0.0,0.0,204.07,-0.0,-0.0,-0.0,0.0
216.26,0.0,0.0,216.26,0.0,0.0,0.0,0.0
228.46,0.0,0.0,228.46,-0.0,-0.0,-0.0,0.0
240.65,0.0,0.0,240.65,0.0,0.0,0.0,0.0
252.84,0.0,0.0,252.84,-0.0,-0.0,-0.0,0.0
265.03,0.0,0.0,265.03,0.0,0.0,0.0,0.0
277.22,0.0,0.0,277.22,-0.0,-0.0,-0.0,0.0
289.42,0.0,0.0,289.42,0.0,0.0,0.0,0.0
301.61,0.0,0.0,301.61,-0.0,-0.0,-0.0,0.0
313.8,0.0,0.0,313.8,0.0,0.0,0.0,0.0
325.99,0.0,0.0,325.99,-0.0,-0.0,-0.0,0.0
338.18,0.0,0.0,338.18,0.0,0.0,0.0,0.0
350.38,0.0,0.0,350.38,-0.0,-0.0,-0.0,0.0
362.57,0.0,0.0,362.57,0.0,0.0,0.0,0.0
374.76,0.0,0.0,374.76,-0.0,-0.0,-0.0,0.0
386.95,0.0,0.0,386.95,0.0,0.0,0.0,0.0
399.14,0.0,0.0,399.14,-0.0,-0.0,-0.0,0.0
411.34,0.0,0.0,411.34,0.0,0.0,0.0,0.0
423.53,0.0,0.0,423.53,-0.0,-0.0,-0.0,0.0
435.72,0.0,0.0,435.72,0.0,0.0,0.0,0.0
447.91,0.0,0.0,447.91,-0.0,-0.0,-0.0,0.0
460.1,0.0,0.0,460.1,0.0,0.0,0.0,0.0
472.3,0.0,0.0,472.3,-0.0,-0.0,-0.0,0.0
484.49,0.0,0.0,484.49,0.0,0.0,0.0,0.0
496.68,0.0,0.0,496.68,-0.0,-0.0,-0.0,0.0
508.87,0.0,0.0,508.87,0.0,0.0,0.0,0.0
521.06,0.0,0.0,521.06,-0.0,-0.0,-0.0,0.0
533.26,0.0,0.0,533.26,0.0,0.0,0.0,0.0
545.45,0.0,0.0,545.45,-0.0,-0.0,-0.0,0.0
557.64,0.0,0.0,557.64,0.0,0.0,0.0,0.0
569.83,0.0,0.0,569.83,-0.0,-0.0,-0.0,0.0
582.02,0.0,0.0,582.02,0.0,0.0,0.0,0.0
594.22,0.0,0.0,594.22,-0.0,-0.0,-0.0,0.0
606.41,0.0,0.0,606.41,0.0,0.0,0.0,0.0
618.6,0.0,0.0,618.6,-0.0,-0.0,-0.0,0.0
630.79,0.0,0.0,630.79,0.0,0.0,0.0,0.0
642.98,0.0,0.0,642.98,-0.0,-0.0,-0.0,0.0
655.18,0.0,0.0,655.18,0.0,0.0,0.0,0.0
667.37,0.0,0.0,667.37,-0.0,-0.0,-0.0,0.0
679.56,0.0,0.0,679.56,0.0,0.0,0.0,0.0
691.75,0.0,0.0,691.75,-0.0,-0.0,-0.0,0.0
703.94,0.0,0.0,703.94,0.0,0.0,0.0,0.0
716.14,0.0,0.0,716.14,-0.0,-0.0,-0.0,0.0
728.33,0.0,0.0,728.33,0.0,0.0,0.0,0.0
740.52,0.0,0.0,740.52,-0.0,-0.0,-0.0,0.0
752.71,0.0,0.0,752.71,0.0,0.0,0.0,0.0
764.9,0.0,0.0,764.9,-0.0,-0.0,-0.0,0.0
777.1,0.0,0.0,777.1,0.0,0.0,0.0,0.0
789.29,0.0,0.0,789.29,-0.0,-0.0,-0.0,0.0
801.48,0.0,0.0,801.48,0.0,0.0,0.0,0.0
813.67,0.0,0.0,813.67,-0.0,-0.0,-0.0,0.0
825.86,0.0,0.0,825.86,0.0,0.0,0.0,0.0
838.06,0.0,0.0,838.06,-0.0,-0.0,-0.0,0.0
850.25,0.0,0.0,850.25,0.0,0.0,0.0,0.0
862.44,0.0,0.0,862.44,-0.0,-0.0,-0.0,0.0
874.63,0.0,0.0,874.63,0.0,0.0,0.0,0.0
886.82,0.0,0.0,886.82,-0.0,-0.0,-0.0,0.0
899.02,0.0,0.0,899.02,0.0,0.0,0.0,0.0
911.21,0.0,0.0,911.21,-0.0,-0.0,-0.0,0.0
923.4,0.0,0.0,923.4,0.0,0.0,0.0,0.0
935.59,0.0,0.0,935.59,-0.0,-0.0,-0.0,0.0
947.78,0.0,0.0,947.78,0.0,0.0,0.0,0.0
959.98,0.0,0.0,959.98,-0.0,-0.0,-0.0,0.0
972.17,0.0,0.0,972.17,0.0,0.0,0.0,0.0
984.36,0.0,0.0,984.36,-0.0,-0.0,-0.0,0.0
996.55,0.0,0.0,996.55,0.0,0.0,0.0,0.0
1008.74,0.0,0.0,1008.74,-0.0,-0.0,-0.0,0.0
1020.94,0.0,0.0,1020.94,0.0,0.0,0.0,0.0
1033.13,0.0,0.0,1033.13,-0.0,-0.0,-0.0,0.0
1045.32,0.0,0.0,1045.32,0.0,0.0,0.0,0.0
1057.51,0.0,0.0,1057.51,-0.0,-0.0,-0.0,0.0
1069.7,0.0,0.0,1069.7,0.0,0.0,0.0,0.0
1081.9,0.0,0.0,1081.9,-0.0,-0.0,-0.0,0.0
1094.09,0.0,0.0,1094.09,0.0,0.0,0.0,0.0
1106.28,0.0,0.0,1106.28,-0.0,-0.0,-0.0,0.0
1118.47,0.0,0.0,1118.47,0.0,0.0,0.0,0.0
1130.66,0.0,0.0,1130.66,-0.0,-0.0,-0.0,0.0
1142.86,0.0,0.0,1142.86,0.0,0.0,0.0,0.0
1155.05,0.0,0.0,1155.05,-0.0,-0.0,-0.0,0.0
