MD [m],Inc [°],<SO> @ centr. [%],SO @ mid span [%]
2900.0,0.0,87.3,88.56
2926.0,0.0,89.83,90.42
2952.0,0.0,91.02,92.47
2978.0,0.0,93.93,93.16
3004.0,0.0,92.39,87.72
3030.0,0.0,83.06,85.91
3056.0,0.0,88.77,86.1
3082.0,0.0,83.43,71.86
3108.0,0.0,60.29,8.81
3134.0,2.59,50.19,-15.25
3160.0,3.06,65.51,-9.44
3186.0,2.69,27.39,-24.42
3212.0,0.0,16.28,39.15
3238.0,0.0,62.01,62.8
3264.0,0.0,63.58,67.39
3290.0,0.0,71.19,77.25
3316.0,0.0,83.32,74.22
3342.0,0.0,65.12,65.57
3368.0,0.0,66.02,66.09
3394.0,0.0,66.17,69.86
3420.0,0.0,73.54,71.12
3446.0,0.0,68.7,74.25
3472.0,0.0,79.8,90.6
3498.0,0.0,101.41,75.45
3524.0,0.0,49.49,59.47
3550.0,0.0,69.45,67.07
3576.0,0.0,64.68,59.71
3602.0,0.0,54.74,56.18
3628.0,0.0,57.63,57.71
3654.0,0.0,57.79,63.35
3680.0,0.0,68.91,80.56
3706.0,0.0,92.2,79.46
3732.0,0.0,66.72,68.41
3758.0,0.0,70.1,70.14
3784.0,0.0,70.18,0.0
